2023-11-27 01:10:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=171.252.153.227:42346 
2023-11-27 01:12:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=171.252.153.227:42346 
2023-11-27 09:37:14: 
AuxiliaryTimer took much times to process: 1789ms
2023-11-27 10:32:19: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:34:21: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:36:22: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:38:24: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:40:25: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:42:27: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:44:28: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 10:46:30: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:52377 
2023-11-27 11:09:26: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:58296 
2023-11-27 11:11:28: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:58296 
2023-11-27 11:13:30: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:58296 
2023-11-27 11:15:37: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:58296 
2023-11-27 11:17:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:58296 
2023-11-27 11:24:02: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:26:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:28:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:30:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:32:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:34:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:36:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:38:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:60627 
2023-11-27 11:38:49: Packet length is not correct, Cmd=63716, Length=-1395078709, offset=55283712, count=169
2023-11-27 11:54:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:65256 
2023-11-27 16:43:27: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:49396 
2023-11-27 16:45:29: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:49396 
2023-11-27 18:02:27: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:04:29: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:06:30: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:08:32: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:10:33: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:12:35: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:14:37: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:16:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:18:40: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:20:42: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:22:44: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:24:46: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:26:48: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:28:50: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:30:54: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:32:56: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:34:58: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:37:00: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:39:01: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:41:03: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:43:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:45:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:47:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:49:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:51:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:53:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:55:18: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:57:19: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 18:59:21: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:01:23: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:03:25: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:05:27: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:07:29: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:09:31: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:11:32: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:13:34: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:15:36: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:17:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:19:40: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:21:42: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:23:44: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-27 19:25:46: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
