2023-11-28 00:02:00: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:04:02: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:06:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:08:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:10:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:12:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:14:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:16:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:18:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:20:17: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:22:19: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:24:21: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:26:23: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:28:24: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:30:26: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:32:29: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:34:31: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:36:33: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:38:34: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:40:36: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:42:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:44:40: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:46:42: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:48:44: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:50:46: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
2023-11-28 00:52:48: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=103.92.25.226:61580 
